EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PrecissRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E20068777716022812209DB8,1,1,442,-50,-5050,2280,1366686715772203,1366686715772203,1,1366690089805
E20068777716022812209DB8,1,1,442,-50,-5050,2284,1366686715780013,1366686715780013,1,1366690089821
E20068777716022812209DB8,2,1,221,-47,-4750,1756,1366686715791678,1366686715791678,1,1366690089821
E20068777716022812209DB8,2,1,247,-47,-4750,1752,1366686715802564,1366686715802564,1,1366690089856
E20068777716022812209DB8,3,1,169,-45,-4550,404,1366686715821331,1366686715821331,1,1366690089856
E20068777716022812209DB8,3,1,117,-45,-4550,416,1366686715829818,1366686715829818,1,1366690089857
E20068777716022812209DB8,1,1,494,-50,-5050,2280,1366686715841309,1366686715841309,1,1366690089857
E20068777716022812209DB8,1,1,494,-50,-5050,2284,1366686715855314,1366686715855314,1,1366690089857
E20068777716022812209DB8,2,1,299,-47,-4750,1752,1366686715867825,1366686715867825,1,1366690089882
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686715873995,1366686715873995,1,1366690089882
E20068777716022812209DB8,3,1,221,-45,-4550,404,1366686715901033,1366686715901033,1,1366690089882
E20068777716022812209DB8,3,1,52,-45,-4550,408,1366686715908723,1366686715908723,1,1366690089882
E20068777716022812209DB8,1,1,364,-51,-5100,2292,1366686715924398,1366686715924398,1,1366690089926
E20068777716022812209DB8,1,1,299,-50,-5050,2300,1366686715928646,1366686715928646,1,1366690089926
E20068777716022812209DB8,2,1,416,-47,-4750,1736,1366686715945751,1366686715945751,1,1366690089926
E20068777716022812209DB8,2,1,247,-47,-4750,1760,1366686715955304,1366686715955304,1,1366690089926
E20068777716022812209DB8,3,1,78,-45,-4550,408,1366686715970377,1366686715970377,1,1366690089926
E20068777716022812209DB8,3,1,117,-45,-4550,408,1366686715976367,1366686715976367,1,1366690089926
E20068777716022812209DB8,1,1,299,-50,-5050,2284,1366686715992233,1366686715992233,1,1366690089927
E20068777716022812209DB8,1,1,416,-50,-5050,2280,1366686716005272,1366686716005272,1,1366690089927
E20068777716022812209DB8,2,1,195,-47,-4750,1756,1366686716019730,1366686716019730,1,1366690090048
E20068777716022812209DB8,2,1,273,-47,-4750,1760,1366686716028825,1366686716028825,1,1366690090048
E20068777716022812209DB8,1,1,442,-51,-5100,2296,1366686716051859,1366686716051859,1,1366690090048
E20068777716022812209DB8,1,1,468,-50,-5050,2280,1366686716061228,1366686716061228,1,1366690090049
E20068777716022812209DB8,2,1,247,-47,-4750,1760,1366686716075844,1366686716075844,1,1366690090049
E20068777716022812209DB8,2,1,195,-47,-4750,1772,1366686716084343,1366686716084343,1,1366690090049
E20068777716022812209DB8,3,1,52,-46,-4600,412,1366686716099096,1366686716099096,1,1366690090049
E20068777716022812209DB8,3,1,52,-46,-4600,412,1366686716110289,1366686716110289,1,1366690090049
E20068777716022812209DB8,1,1,468,-50,-5050,2288,1366686716124188,1366686716124188,1,1366690090049
E20068777716022812209DB8,1,1,364,-50,-5050,2304,1366686716136587,1366686716136587,1,1366690090070
E20068777716022812209DB8,2,1,195,-47,-4750,1780,1366686716151707,1366686716151707,1,1366690090070
E20068777716022812209DB8,2,1,273,-47,-4750,1752,1366686716161028,1366686716161028,1,1366690090071
E20068777716022812209DB8,3,1,52,-45,-4550,412,1366686716173420,1366686716173420,1,1366690090120
E20068777716022812209DB8,3,1,78,-45,-4550,408,1366686716185388,1366686716185388,1,1366690090120
E20068777716022812209DB8,1,1,416,-50,-5050,2296,1366686716199576,1366686716199576,1,1366690090120
E20068777716022812209DB8,1,1,390,-50,-5050,2296,1366686716204324,1366686716204324,1,1366690090120
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686716220799,1366686716220799,1,1366690090120
E20068777716022812209DB8,2,1,273,-47,-4750,1752,1366686716228504,1366686716228504,1,1366690090120
E20068777716022812209DB8,3,1,78,-45,-4550,404,1366686716245186,1366686716245186,1,1366690090121
E20068777716022812209DB8,3,1,78,-45,-4550,408,1366686716254918,1366686716254918,1,1366690090121
E20068777716022812209DB8,1,1,416,-51,-5100,2292,1366686716266857,1366686716266857,1,1366690090219
E20068777716022812209DB8,1,1,416,-50,-5050,2288,1366686716278481,1366686716278481,1,1366690090219
E20068777716022812209DB8,2,1,416,-47,-4750,1748,1366686716293194,1366686716293194,1,1366690090220
E20068777716022812209DB8,2,1,247,-47,-4750,1760,1366686716303031,1366686716303031,1,1366690090220
E20068777716022812209DB8,3,1,78,-45,-4550,416,1366686716314786,1366686716314786,1,1366690090220
E20068777716022812209DB8,3,1,52,-45,-4550,400,1366686716323550,1366686716323550,1,1366690090221
E20068777716022812209DB8,1,1,468,-50,-5050,2288,1366686716340186,1366686716340186,1,1366690090221
E20068777716022812209DB8,1,1,755,-51,-5100,2248,1366686716349073,1366686716349073,1,1366690090221
E20068777716022812209DB8,2,1,169,-47,-4750,1776,1366686716362429,1366686716362429,1,1366690090221
E20068777716022812209DB8,2,1,247,-48,-4800,1772,1366686716371374,1366686716371374,1,1366690090239
E20068777716022812209DB8,3,1,117,-46,-4600,412,1366686716388319,1366686716388319,1,1366690090239
E20068777716022812209DB8,3,1,143,-46,-4600,408,1366686716395447,1366686716395447,1,1366690090239
E20068777716022812209DB8,1,1,416,-51,-5100,2296,1366686716408534,1366686716408534,1,1366690090351
E20068777716022812209DB8,1,1,364,-51,-5100,2304,1366686716419282,1366686716419282,1,1366690090351
E20068777716022812209DB8,2,1,273,-47,-4750,1752,1366686716435016,1366686716435016,1,1366690090351
E20068777716022812209DB8,2,1,364,-47,-4750,1748,1366686716439268,1366686716439268,1,1366690090352
E20068777716022812209DB8,3,1,117,-45,-4550,404,1366686716454825,1366686716454825,1,1366690090352
E20068777716022812209DB8,3,1,78,-45,-4550,416,1366686716466616,1366686716466616,1,1366690090352
E20068777716022812209DB8,1,1,390,-51,-5100,2296,1366686716481682,1366686716481682,1,1366690090352
E20068777716022812209DB8,1,1,494,-51,-5100,2284,1366686716490900,1366686716490900,1,1366690090352
E20068777716022812209DB8,2,1,273,-47,-4750,1756,1366686716502988,1366686716502988,1,1366690090352
E20068777716022812209DB8,2,1,195,-47,-4750,1772,1366686716510866,1366686716510866,1,1366690090352
E20068777716022812209DB8,3,1,78,-45,-4550,416,1366686716527197,1366686716527197,1,1366690090499
E20068777716022812209DB8,3,1,-143,-45,-4550,436,1366686716532718,1366686716532718,1,1366690090499
E20068777716022812209DB8,1,1,273,-51,-5100,2312,1366686716550263,1366686716550263,1,1366690090499
E20068777716022812209DB8,1,1,442,-50,-5050,2292,1366686716560226,1366686716560226,1,1366690090499
E20068777716022812209DB8,2,1,338,-47,-4750,1748,1366686716573314,1366686716573314,1,1366690090499
E20068777716022812209DB8,2,1,390,-47,-4750,1748,1366686716581530,1366686716581530,1,1366690090499
E20068777716022812209DB8,3,1,78,-46,-4600,412,1366686716599540,1366686716599540,1,1366690090500
E20068777716022812209DB8,3,1,143,-46,-4600,408,1366686716606491,1366686716606491,1,1366690090500
E20068777716022812209DB8,1,1,338,-51,-5100,2300,1366686716619358,1366686716619358,1,1366690090500
E20068777716022812209DB8,1,1,273,-50,-5050,2316,1366686716630804,1366686716630804,1,1366690090500
E20068777716022812209DB8,2,1,195,-47,-4750,1772,1366686716644289,1366686716644289,1,1366690090500
E20068777716022812209DB8,2,1,364,-47,-4750,1752,1366686716654373,1366686716654373,1,1366690090500
E20068777716022812209DB8,1,1,585,-50,-5050,2280,1366686716674633,1366686716674633,1,1366690090573
E20068777716022812209DB8,1,1,442,-50,-5050,2284,1366686716681950,1366686716681950,1,1366690090573
E20068777716022812209DB8,2,1,273,-47,-4750,1760,1366686716702014,1366686716702014,1,1366690090573
E20068777716022812209DB8,2,1,195,-47,-4750,1772,1366686716709931,1366686716709931,1,1366690090574
E20068777716022812209DB8,3,1,117,-45,-4550,416,1366686716722795,1366686716722795,1,1366690090574
E20068777716022812209DB8,3,1,78,-45,-4550,412,1366686716730565,1366686716730565,1,1366690090574
E20068777716022812209DB8,1,1,338,-50,-5050,2292,1366686716749004,1366686716749004,1,1366690090574
E20068777716022812209DB8,1,1,442,-51,-5100,2276,1366686716757959,1366686716757959,1,1366690090574
E20068777716022812209DB8,2,1,273,-47,-4750,1760,1366686716771265,1366686716771265,1,1366690090723
E20068777716022812209DB8,2,1,169,-47,-4750,1772,1366686716776951,1366686716776951,1,1366690090723
E20068777716022812209DB8,3,1,143,-46,-4600,404,1366686716793585,1366686716793585,1,1366690090723
E20068777716022812209DB8,3,1,143,-45,-4550,408,1366686716804868,1366686716804868,1,1366690090724
E20068777716022812209DB8,1,1,364,-50,-5050,2292,1366686716816192,1366686716816192,1,1366690090724
E20068777716022812209DB8,1,1,169,-51,-5100,2312,1366686716827530,1366686716827530,1,1366690090724
E20068777716022812209DB8,2,1,364,-47,-4750,1756,1366686716841318,1366686716841318,1,1366690090725
E20068777716022812209DB8,2,1,169,-47,-4750,1764,1366686716851602,1366686716851602,1,1366690090725
E20068777716022812209DB8,3,1,143,-46,-4600,412,1366686716867438,1366686716867438,1,1366690090726
E20068777716022812209DB8,3,1,143,-45,-4550,408,1366686716873735,1366686716873735,1,1366690090735
E20068777716022812209DB8,1,1,416,-50,-5050,2296,1366686716888611,1366686716888611,1,1366690090735
E20068777716022812209DB8,1,1,247,-51,-5100,2300,1366686716898728,1366686716898728,1,1366690090735
E20068777716022812209DB8,2,1,299,-47,-4750,1752,1366686716915687,1366686716915687,1,1366690090842
E20068777716022812209DB8,2,1,299,-47,-4750,1756,1366686716924584,1366686716924584,1,1366690090842
E20068777716022812209DB8,3,1,143,-45,-4550,408,1366686716940520,1366686716940520,1,1366690090843
E20068777716022812209DB8,3,1,143,-46,-4600,408,1366686716947652,1366686716947652,1,1366690090843
E20068777716022812209DB8,1,1,494,-50,-5050,2284,1366686716962675,1366686716962675,1,1366690090843
E20068777716022812209DB8,1,1,390,-51,-5100,2280,1366686716969659,1366686716969659,1,1366690090843
E20068777716022812209DB8,2,1,247,-47,-4750,1768,1366686716986875,1366686716986875,1,1366690090844
E20068777716022812209DB8,2,1,273,-47,-4750,1760,1366686716996054,1366686716996054,1,1366690090844
E20068777716022812209DB8,3,1,78,-46,-4600,416,1366686717010015,1366686717010015,1,1366690090844
E20068777716022812209DB8,3,1,78,-45,-4550,420,1366686717019750,1366686717019750,1,1366690090973
E20068777716022812209DB8,1,1,468,-50,-5050,2284,1366686717033514,1366686717033514,1,1366690090973
E20068777716022812209DB8,1,1,364,-50,-5050,2304,1366686717041015,1366686717041015,1,1366690090973
E20068777716022812209DB8,2,1,221,-47,-4750,1768,1366686717056257,1366686717056257,1,1366690090973
E20068777716022812209DB8,2,1,364,-47,-4750,1756,1366686717065348,1366686717065348,1,1366690090973
E20068777716022812209DB8,1,1,247,-50,-5050,2320,1366686717088055,1366686717088055,1,1366690090973
E20068777716022812209DB8,1,1,442,-50,-5050,2300,1366686717096084,1366686717096084,1,1366690090974
E20068777716022812209DB8,2,1,247,-47,-4750,1756,1366686717111296,1366686717111296,1,1366690090974
E20068777716022812209DB8,2,1,221,-47,-4750,1768,1366686717118503,1366686717118503,1,1366690090974
E20068777716022812209DB8,3,1,117,-45,-4550,412,1366686717133634,1366686717133634,1,1366690090976
E20068777716022812209DB8,3,1,52,-45,-4550,424,1366686717140389,1366686717140389,1,1366690090976
E20068777716022812209DB8,1,1,299,-51,-5100,2304,1366686717159259,1366686717159259,1,1366690090976
E20068777716022812209DB8,1,1,195,-50,-5050,2304,1366686717173198,1366686717173198,1,1366690091075
E20068777716022812209DB8,2,1,364,-47,-4750,1752,1366686717186116,1366686717186116,1,1366690091076
E20068777716022812209DB8,2,1,299,-47,-4750,1756,1366686717194429,1366686717194429,1,1366690091076
E20068777716022812209DB8,3,1,117,-45,-4550,412,1366686717210924,1366686717210924,1,1366690091076
E20068777716022812209DB8,3,1,117,-45,-4550,416,1366686717218068,1366686717218068,1,1366690091076
E20068777716022812209DB8,1,1,299,-51,-5100,2296,1366686717235167,1366686717235167,1,1366690091077
E20068777716022812209DB8,1,1,442,-51,-5100,2300,1366686717243143,1366686717243143,1,1366690091077
E20068777716022812209DB8,2,1,221,-47,-4750,1768,1366686717259323,1366686717259323,1,1366690091077
E20068777716022812209DB8,2,1,273,-47,-4750,1772,1366686717265122,1366686717265122,1,1366690091218
E20068777716022812209DB8,3,1,26,-46,-4600,416,1366686717280862,1366686717280862,1,1366690091218
E20068777716022812209DB8,3,1,143,-45,-4550,420,1366686717290575,1366686717290575,1,1366690091219
E20068777716022812209DB8,1,1,338,-50,-5050,2292,1366686717302988,1366686717302988,1,1366690091219
E20068777716022812209DB8,1,1,442,-50,-5050,2288,1366686717314368,1366686717314368,1,1366690091219
E20068777716022812209DB8,2,1,143,-47,-4750,1776,1366686717328784,1366686717328784,1,1366690091220
E20068777716022812209DB8,2,1,364,-47,-4750,1740,1366686717337091,1366686717337091,1,1366690091220
E20068777716022812209DB8,3,1,26,-45,-4550,408,1366686717351562,1366686717351562,1,1366690091220
E20068777716022812209DB8,3,1,26,-45,-4550,432,1366686717360726,1366686717360726,1,1366690091220
E20068777716022812209DB8,1,1,416,-51,-5100,2292,1366686717378635,1366686717378635,1,1366690091226
E20068777716022812209DB8,1,1,416,-51,-5100,2296,1366686717386666,1366686717386666,1,1366690091226
E20068777716022812209DB8,2,1,273,-47,-4750,1756,1366686717402923,1366686717402923,1,1366690091227
E20068777716022812209DB8,2,1,247,-47,-4750,1756,1366686717410520,1366686717410520,1,1366690091329
E20068777716022812209DB8,1,1,585,-50,-5050,2268,1366686717433009,1366686717433009,1,1366690091330
E20068777716022812209DB8,1,1,416,-51,-5100,2288,1366686717438972,1366686717438972,1,1366690091330
E20068777716022812209DB8,2,1,195,-47,-4750,1764,1366686717459130,1366686717459130,1,1366690091330
E20068777716022812209DB8,2,1,247,-47,-4750,1756,1366686717463861,1366686717463861,1,1366690091331
E20068777716022812209DB8,3,1,52,-45,-4550,420,1366686717477848,1366686717477848,1,1366690091331
E20068777716022812209DB8,3,1,221,-45,-4550,396,1366686717488308,1366686717488308,1,1366690091331
E20068777716022812209DB8,1,1,299,-50,-5050,2300,1366686717502892,1366686717502892,1,1366690091332
E20068777716022812209DB8,1,1,338,-51,-5100,2304,1366686717514575,1366686717514575,1,1366690091466
E20068777716022812209DB8,2,1,169,-47,-4750,1776,1366686717527936,1366686717527936,1,1366690091466
E20068777716022812209DB8,2,1,390,-48,-4800,1744,1366686717538637,1366686717538637,1,1366690091466
E20068777716022812209DB8,3,1,117,-45,-4550,420,1366686717551603,1366686717551603,1,1366690091467
E20068777716022812209DB8,3,1,52,-46,-4600,420,1366686717562133,1366686717562133,1,1366690091467
E20068777716022812209DB8,1,1,494,-50,-5050,2272,1366686717576983,1366686717576983,1,1366690091467
E20068777716022812209DB8,1,1,533,-50,-5050,2280,1366686717585334,1366686717585334,1,1366690091468
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686717600787,1366686717600787,1,1366690091468
E20068777716022812209DB8,2,1,273,-47,-4750,1752,1366686717607688,1366686717607688,1,1366690091468
E20068777716022812209DB8,3,1,169,-45,-4550,400,1366686717626362,1366686717626362,1,1366690091475
E20068777716022812209DB8,3,1,78,-45,-4550,412,1366686717635805,1366686717635805,1,1366690091476
E20068777716022812209DB8,1,1,364,-50,-5050,2292,1366686717649367,1366686717649367,1,1366690091476
E20068777716022812209DB8,1,1,468,-50,-5050,2284,1366686717655651,1366686717655651,1,1366690091582
E20068777716022812209DB8,2,1,364,-47,-4750,1748,1366686717679387,1366686717679387,1,1366690091583
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686717685820,1366686717685820,1,1366690091584
E20068777716022812209DB8,3,1,169,-45,-4550,404,1366686717701808,1366686717701808,1,1366690091584
E20068777716022812209DB8,3,1,52,-46,-4600,416,1366686717709815,1366686717709815,1,1366690091584
E20068777716022812209DB8,1,1,494,-50,-5050,2284,1366686717727562,1366686717727562,1,1366690091585
E20068777716022812209DB8,1,1,468,-50,-5050,2276,1366686717732602,1366686717732602,1,1366690091585
E20068777716022812209DB8,2,1,338,-47,-4750,1748,1366686717750748,1366686717750748,1,1366690091586
E20068777716022812209DB8,2,1,338,-47,-4750,1756,1366686717759989,1366686717759989,1,1366690091586
E20068777716022812209DB8,1,1,559,-50,-5050,2276,1366686717782457,1366686717782457,1,1366690091718
E20068777716022812209DB8,1,1,690,-51,-5100,2268,1366686717789002,1366686717789002,1,1366690091718
E20068777716022812209DB8,2,1,416,-47,-4750,1740,1366686717805731,1366686717805731,1,1366690091718
E20068777716022812209DB8,2,1,364,-47,-4750,1748,1366686717813859,1366686717813859,1,1366690091719
E20068777716022812209DB8,3,1,195,-46,-4600,412,1366686717828335,1366686717828335,1,1366690091719
E20068777716022812209DB8,3,1,143,-45,-4550,416,1366686717839586,1366686717839586,1,1366690091719
E20068777716022812209DB8,1,1,390,-50,-5050,2308,1366686717853584,1366686717853584,1,1366690091719
E20068777716022812209DB8,1,1,247,-51,-5100,2304,1366686717861731,1366686717861731,1,1366690091719
E20068777716022812209DB8,2,1,273,-47,-4750,1760,1366686717876005,1366686717876005,1,1366690091720
E20068777716022812209DB8,2,1,247,-47,-4750,1760,1366686717884837,1366686717884837,1,1366690091732
E20068777716022812209DB8,3,1,78,-46,-4600,420,1366686717899985,1366686717899985,1,1366690091732
E20068777716022812209DB8,3,1,169,-45,-4550,412,1366686717908447,1366686717908447,1,1366690091733
E20068777716022812209DB8,1,1,338,-51,-5100,2296,1366686717921709,1366686717921709,1,1366690091825
E20068777716022812209DB8,1,1,338,-51,-5100,2292,1366686717932542,1366686717932542,1,1366690091825
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686717945868,1366686717945868,1,1366690091826
E20068777716022812209DB8,2,1,273,-47,-4750,1756,1366686717952573,1366686717952573,1,1366690091826
E20068777716022812209DB8,3,1,0,-46,-4600,420,1366686717970360,1366686717970360,1,1366690091826
E20068777716022812209DB8,3,1,26,-45,-4550,420,1366686717979471,1366686717979471,1,1366690091826
E20068777716022812209DB8,1,1,442,-51,-5100,2292,1366686717995188,1366686717995188,1,1366690091827
E20068777716022812209DB8,1,1,390,-50,-5050,2304,1366686718002130,1366686718002130,1,1366690091827
E20068777716022812209DB8,2,1,364,-47,-4750,1740,1366686718015953,1366686718015953,1,1366690091966
E20068777716022812209DB8,2,1,143,-47,-4750,1776,1366686718024705,1366686718024705,1,1366690091966
E20068777716022812209DB8,3,1,143,-45,-4550,412,1366686718038252,1366686718038252,1,1366690091967
E20068777716022812209DB8,3,1,143,-45,-4550,408,1366686718046038,1366686718046038,1,1366690091967
E20068777716022812209DB8,1,1,416,-50,-5050,2292,1366686718064815,1366686718064815,1,1366690091967
E20068777716022812209DB8,1,1,494,-50,-5050,2284,1366686718072072,1366686718072072,1,1366690091967
E20068777716022812209DB8,2,1,364,-47,-4750,1744,1366686718086035,1366686718086035,1,1366690091967
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686718095961,1366686718095961,1,1366690091967
E20068777716022812209DB8,1,1,494,-50,-5050,2280,1366686718119099,1366686718119099,1,1366690091968
E20068777716022812209DB8,1,1,390,-51,-5100,2296,1366686718126285,1366686718126285,1,1366690091975
E20068777716022812209DB8,2,1,338,-47,-4750,1748,1366686718142116,1366686718142116,1,1366690091975
E20068777716022812209DB8,2,1,338,-47,-4750,1756,1366686718151829,1366686718151829,1,1366690091976
E20068777716022812209DB8,3,1,78,-46,-4600,416,1366686718166517,1366686718166517,1,1366690092084
E20068777716022812209DB8,3,1,143,-45,-4550,412,1366686718172676,1366686718172676,1,1366690092084
E20068777716022812209DB8,1,1,416,-50,-5050,2292,1366686718188542,1366686718188542,1,1366690092084
E20068777716022812209DB8,1,1,299,-50,-5050,2300,1366686718198847,1366686718198847,1,1366690092085
E20068777716022812209DB8,2,1,364,-47,-4750,1756,1366686718217477,1366686718217477,1,1366690092085
E20068777716022812209DB8,2,1,221,-48,-4800,1768,1366686718224827,1366686718224827,1,1366690092085
E20068777716022812209DB8,3,1,78,-46,-4600,416,1366686718239093,1366686718239093,1,1366690092085
E20068777716022812209DB8,3,1,117,-46,-4600,408,1366686718248917,1366686718248917,1,1366690092085
